Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
108;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Maitre de l'Ecole primaire;10;453;503;578;653
109;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire;12;537;587;662;737
110;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire classe 1;13;578;628;703;778
111;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire classe 2;14;621;671;746;821
112;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur Emérite de l’enseignement primaire;15;666;716;791;866
113;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Fondamental;Professeur de l’'enseignement fondamental;11;498;548;623;698
114;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’'enseignement moyen;12;537;587;662;737
115;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Prof.Coordinateur d'Enseign.Moyen;12;537;587;662;737
116;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur Principal de l’'enseignement moyen;13;578;628;703;778
117;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur Formateur de l’'enseignement moyen;15;666;716;791;866
118;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’enseignement moyen classe 1;13;578;628;703;778
119;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’enseignement moyen classe 2;15;666;716;791;866
120;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur Emerite de l’enseignement moyen;16;713;763;838;913
121;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs Techniques de Lycee;Professeur technique de lycee-chef d’'atelier;11;498;548;623;698
122;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs Techniques de Lycee;Professeur technique de lycee, chef de travaux;12;537;587;662;737
123;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’'enseignement secondaire;13;578;628;703;778
124;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Prof.Coordinateur d'Enseign.Secondaire;13;578;628;703;778
125;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur Principal de l'’enseignement secondaire;14;621;671;746;821
126;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur Formateur de l'’enseignement secondaire;16;713;763;838;913
127;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’enseignement secondaire classe 1;14;621;671;746;821
128;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’enseignement secondaire classe 2;16;713;763;838;913
129;Statut_Fonctionnaire;ENSEIGNANT;Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur Emerite de l’enseignement secondaire;17;762;812;887;962
130;Regime_Contractuel;ENSEIGNANT;Enseignants Contractuels;Enseignants Contractuels du Primaire;Prof.Contractuel de l’'Enseign. Primaire;Prof.Contractuel de l'’école primaire;12;537;587;662;737
131;Regime_Contractuel;ENSEIGNANT;Enseignants Contractuels;Enseignants Contractuels du CEM;Prof.Contractuel de l’'Enseign. Moyen;Prof.Contractuel de l’'Enseign. Moyen;12;537;587;662;737
132;Regime_Contractuel;ENSEIGNANT;Enseignants Contractuels;Enseignants Contractuels du Lycée;Prof.Contractuel de l’'Enseign. Secondaire;Prof.Contractuel de l’'Enseign. Secondaire;13;578;628;703;778
